teks_keluhan_awam|teks_laporan_teknisi|kategori_aset|severity|root_cause|jenis_kerusakan|biaya_perbaikan
Lampu LED import yang terpasang di Gedung Utama Lantai 9 Zona Selatan sudah tidak berfungsi dengan baik sehingga perlu segera diperbaiki|Laporan teknisi menunjukkan bahwa Lampu LED import di Gedung Utama Lantai 9 Zona Selatan mengalami kerusakan berat akibat aus normal sehingga perlu diperbaiki|Merek Import Tipe Lampu LED|Berat|Aus normal|Performa menurun|7488000
Wastafel American Standard di Gedung Parkir Lantai 3 Zona Tengah tiba-tiba mengalami tekanan air yang tidak stabil|Tekanan air wastafel American Standard tipe Wastafel di Gedung Parkir Lantai 3 Zona Tengah tidak stabil, kemungkinan karena usia pakai|Plumbing|Sedang|Usia pakai|Tekanan tidak stabil|1829000
Wastafel di Gedung Parkir Lantai 3 Zona Tengah mengalami masalah tekanan air, merek American Standard|Laporan teknisi: Wastafel American Standard di Gedung Parkir Lantai 3 Zona Tengah memiliki tekanan air yang tidak stabil, perlu perbaikan|Plumbing|Sedang|Usia pakai|Tekanan tidak stabil|1829000
Gedung Parkir Lantai 3 Zona Tengah, wastafel American Standard tipe Wastafel mengalami tekanan air yang tidak stabil, perlu diperbaiki|Teknisi menemukan bahwa wastafel American Standard di Gedung Parkir Lantai 3 Zona Tengah memiliki masalah tekanan air yang tidak stabil karena usia pakai|Plumbing|Sedang|Usia pakai|Tekanan tidak stabil|1829000
AC Cassette LG di Gedung Servis Lantai 3 Zona Tengah tidak mengeluarkan udara yang cukup|Setelah melakukan inspeksi, ditemukan bahwa AC Cassette LG di Gedung Servis Lantai 3 Zona Tengah mengalami aliran lemah karena human error|Mechanical|Berat|Human error|Aliran lemah|7950000
Saya mengalami masalah dengan AC Cassette LG di kantor saya yang terletak di Gedung Servis Lantai 3 Zona Tengah, udara yang keluar sangat lemah|Setelah melakukan analisis, saya menemukan bahwa AC Cassette LG mengalami kerusakan karena human error yang menyebabkan aliran lemah|Mechanical|Berat|Human error|Aliran lemah|7950000
AC Cassette LG di Gedung Servis Lantai 3 Zona Tengah tidak berfungsi dengan baik, udara yang dihasilkan sangat lemah sehingga membuat ruangan menjadi panas|Setelah melakukan pengecekan, ditemukan bahwa AC Cassette LG mengalami aliran lemah karena human error yang memerlukan perbaikan segera|Mechanical|Berat|Human error|Aliran lemah|7950000
Lampu di Gedung A Lantai 12 Zona Selatan sering mati|Panel PP-ME merek Lokal di Gedung A Lantai 12 Zona Selatan mengalami penurunan performa karena tegangan tidak stabil|Electrical|Ringan|Tegangan tidak stabil|Performa menurun|112000
Saya menemukan bahwa panel listrik PP-ME merek Lokal di Gedung A Lantai 12 Zona Selatan tidak berfungsi dengan baik|Setelah pemeriksaan, ditemukan bahwa panel listrik PP-ME merek Lokal di Gedung A Lantai 12 Zona Selatan mengalami penurunan performa karena tegangan listrik yang tidak stabil|Electrical|Ringan|Tegangan tidak stabil|Performa menurun|112000
Panel listrik di Gedung A Lantai 12 Zona Selatan, khususnya panel PP-ME merek Lokal, sering mengalami gangguan sehingga mempengaruhi kegiatan|Pemeriksaan menunjukkan bahwa panel PP-ME merek Lokal di Gedung A Lantai 12 Zona Selatan mengalami masalah karena tegangan listrik yang tidak stabil, menyebabkan penurunan performa|Electrical|Ringan|Tegangan tidak stabil|Performa menurun|112000
Saya mengalami masalah dengan exhaust fan KDK di Gedung A Lantai 15 Zona Timur, suaranya sangat berisik dan mengeluarkan bunyi aneh|Setelah melakukan inspeksi, ditemukan bahwa kebocoran pada exhaust fan KDK di Gedung A Lantai 15 Zona Timur disebabkan oleh kurangnya perawatan, sehingga menyebabkan kerusakan fatal|Ventilasi Sistem|Fatal|Kurang perawatan|Kebocoran|47574000
Exhaust fan KDK di Gedung A Lantai 15 Zona Timur tidak berfungsi dengan baik, menyebabkan udara di ruangan menjadi tidak seimbang|Pemeriksaan menunjukkan bahwa kebocoran pada exhaust fan KDK di Gedung A Lantai 15 Zona Timur merupakan akibat dari kurangnya perawatan, sehingga biaya perbaikan diperlukan sebesar 47574000|Ventilasi Sistem|Fatal|Kurang perawatan|Kebocoran|47574000
Saya menemukan bahwa exhaust fan KDK di Gedung A Lantai 15 Zona Timur mengalami kebocoran, sehingga menyebabkan kerusakan yang cukup parah|Laporan teknisi menunjukkan bahwa kebocoran pada exhaust fan KDK di Gedung A Lantai 15 Zona Timur disebabkan oleh kurangnya perawatan, sehingga perlu dilakukan perbaikan dengan biaya sebesar 47574000|Ventilasi Sistem|Fatal|Kurang perawatan|Kebocoran|47574000
Ventilasi di Gedung C Lantai 3 Zona Tengah tidak berfungsi dengan baik, terutama exhaust fan merek Krisbow|Exhaust fan Krisbow di Gedung C Lantai 3 Zona Tengah mengalami tekanan tidak stabil karena overload, perlu perbaikan segera|Ventilasi Sistem|Ringan|Overload|Tekanan tidak stabil|265000
Exhaust fan Krisbow di Gedung C Lantai 3 Zona Tengah sering mati sendiri, kemungkinan karena beban yang terlalu berat|Setelah inspeksi, ditemukan bahwa exhaust fan Krisbow di Gedung C Lantai 3 Zona Tengah mengalami overload, menyebabkan tekanan tidak stabil|Ventilasi Sistem|Ringan|Overload|Tekanan tidak stabill|265000
Saya mendapati bahwa exhaust fan Krisbow di Gedung C Lantai 3 Zona Tengah tidak dapat mengeluarkan udara dengan efektif, mungkin karena ada masalah dengan sistem|Exhaust fan Krisbow di Gedung C Lantai 3 Zona Tengah memiliki masalah tekanan tidak stabil karena overload, perlu dilakukan perbaikan untuk mengembalikan fungsinya|Ventilasi Sistem|Ringan|Overload|Tekanan tidak stabil|265000
AC split Sharp di Gedung A Lantai 9 Zona Utara tidak berfungsi dengan baik, suhunya tidak stabil|Pemeriksaan menemukan bahwa sensor pada AC split Sharp di Gedung A Lantai 9 Zona Utara mengalami error karena usia pakai, sehingga perlu dilakukan perbaikan|Mechanical|Sedang|Usia pakai|Sensor error|1989000
AC Sharp di kantor Gedung A Lantai 9 Zona Utara tiba-tiba mati, kemungkinan karena masalah sensor|Setelah diperiksa, ditemukan bahwa AC split Sharp tersebut mengalami kerusakan pada sensor karena usia pakai yang sudah lama, sehingga memerlukan perbaikan segera|Mechanical|Sedang|Usia pakai|Sensor error|1989000
Suhu ruangan di Gedung A Lantai 9 Zona Utara tidak stabil, kemungkinan karena AC split Sharp yang dipasang sudah lama dan memerlukan perawatan|Pemeriksaan teknisi menunjukkan bahwa AC split Sharp tersebut memang mengalami masalah sensor karena usia pakai, sehingga perlu dilakukan perbaikan untuk mengembalikan fungsi AC|Mechanical|Sedang|Usia pakai|Sensor error|1989000
Lampu LED Bulb Generic di Gedung D Lantai 10 Zona Utara sudah tidak menyala dengan baik|Lampu LED Bulb Generic di Gedung D Lantai 10 Zona Utara mengalami kerusakan akibat aus/abrasi karena usia pakai|Electrical|Ringan|Usia pakai|Aus/abrasi|52000
Lampu di ruangan Gedung D Lantai 10 Zona Utara, khususnya Lampu LED Bulb Generic, sudah mulai redup dan tidak terang seperti biasanya|Pemeriksaan menunjukkan bahwa Lampu LED Bulb Generic di Gedung D Lantai 10 Zona Utara memang sudah aus dan perlu diganti karena usia pakai|Electrical|Ringan|Usia pakai|Aus/abrasi|52000
Lampu LED Bulb Generic yang terpasang di Gedung D Lantai 10 Zona Utara mulai menunjukkan tanda-tanda kerusakan, seperti berkedip-kedip dan menyala tidak stabil|Setelah dilakukan pemeriksaan, ditemukan bahwa kerusakan pada Lampu LED Bulb Generic di Gedung D Lantai 10 Zona Utara disebabkan oleh usia pakai yang sudah lama|Electrical|Ringan|Usia pakai|Aus/abrasi|52000
AC Daikin di Gedung Servis Lantai 3 Zona Tengah tidak bisa dingin|Tegangan listrik tidak stabil menyebabkan aliran lemah pada AC Cassette Daikin di Gedung Servis Lantai 3 Zona Tengah|Mechanical|Ringan|Tegangan tidak stabil|Aliran lemah|75000
AC Cassette Daikin di kantor saya di Gedung Servis Lantai 3 Zona Tengah mengalami masalah, suhunya tidak dingin|Setelah dicek, ternyata tegangan listrik tidak stabil sehingga menyebabkan aliran lemah pada AC Daikin|Mechanical|Ringan|Tegangan tidak stabil|Aliran lemah|75000
Saya mengalami masalah dengan AC Daikin tipe Cassette di Gedung Servis Lantai 3 Zona Tengah, udaranya tidak terlalu dingin|Dari hasil pemeriksaan, ditemukan bahwa tegangan listrik tidak stabil sehingga menyebabkan aliran lemah pada AC tersebut|Mechanical|Ringan|Tegangan tidak stabil|Aliran lemah|75000
Kipas angin Panasonic di Gedung D Lantai 8 Zona Barat tiba-tiba mati dan mengeluarkan bau terbakar|Kipas angin Panasonic di Gedung D Lantai 8 Zona Barat mengalami korsleting karena human error, perlu perbaikan segera|Ventilasi Sistem|Sedang|Human error|Korsleting|927000
Lampu di kantor Gedung D Lantai 8 Zona Barat tiba-tiba redup dan kipas angin Panasonic tidak berfungsi|Setelah dilakukan inspeksi, ditemukan bahwa kipas angin Panasonic di Gedung D Lantai 8 Zona Barat mengalami korsleting karena kesalahan operasional|Ventilasi Sistem|Sedang|Human error|Korsleting|927000
Kipas angin Panasonic di ruangan Gedung D Lantai 8 Zona Barat tidak berputar dan mengeluarkan suara aneh|Setelah dilakukan pengecekan, ditemukan bahwa kipas angin Panasonic di Gedung D Lantai 8 Zona Barat mengalami korsleting karena human error, sehingga memerlukan perbaikan dengan biaya yang signifikan|Ventilasi Sistem|Sedang|Human error|Korsleting|927000
Lampu genset diesel Cummins di Gedung C Lantai 5 Zona Utara tiba-tiba mati|Lampu genset diesel Cummins di Gedung C Lantai 5 Zona Utara mengalami kerusakan akibat human error sehingga menyebabkan lampu mati|Mechanical|Ringan|Human error|Lampu mati|297000
Genset diesel Cummins di Gedung C Lantai 5 Zona Utara tidak menyala dan lampu tidak menyala|Kerusakan lampu genset diesel Cummins di Gedung C Lantai 5 Zona Utara disebabkan oleh human error yang menyebabkan lampu mati|Mechanical|Ringan|Human error|Lampu mati|297000
Lampu di Gedung C Lantai 5 Zona Utara tidak menyala karena genset diesel Cummins mengalami kerusakan|Laporan teknisi menunjukkan bahwa lampu genset diesel Cummins di Gedung C Lantai 5 Zona Utara mengalami kerusakan akibat human error yang menyebabkan lampu mati|Mechanical|Ringan|Human error|Lampu mati|297000
Gedung D lantai 9 zona barat mengalami masalah dengan floor drain import yang alirannya lemah|Floor drain import di Gedung D lantai 9 zona barat mengalami overload sehingga menyebabkan aliran lemah|Plumbing|Sedang|Overload|Aliran lemah|1885000
Floor drain merek import di Gedung D lantai 9 zona barat tidak berfungsi dengan baik karena aliran air yang lemah|Setelah dilakukan pemeriksaan, diketahui bahwa floor drain import di Gedung D lantai 9 zona barat mengalami overload yang menyebabkan aliran lemah|Plumbing|Sedang|Overload|Aliran lemah|1885000
Lantai 9 zona barat Gedung D mengalami masalah dengan saluran pembuangan air yang lemah pada floor drain import|Dari hasil inspeksi, floor drain import di Gedung D lantai 9 zona barat mengalami overload sehingga menyebabkan aliran air yang lemah|Plumbing|Sedang|Overload|Aliran lemah|1885000
Pintu kaca hidrolik Generic di Gedung Utama Lantai 3 Zona Tengah rusak|Pintu kaca hidrolik Generic di Gedung Utama Lantai 3 Zona Tengah mengalami kerusakan pada tampilan karena aus normal|Arsitektur|Sedang|Aus normal|Tampilan rusak|1032000
Pintu masuk Gedung Utama Lantai 3 Zona Tengah yang menggunakan pintu kaca hidrolik Generic tidak dapat dibuka dengan sempurna|Kerusakan pada pintu kaca hidrolik Generic di Gedung Utama Lantai 3 Zona Tengah disebabkan oleh aus normal, sehingga menyebabkan tampilan rusak|Arsitektur|Sedang|Aus normal|Tampilan rusak|1032000
Pintu kaca hidrolik Generic di area tengah Lantai 3 Gedung Utama mengalami masalah dengan tampilan yang rusak|Laporan teknisi menunjukkan bahwa pintu kaca hidrolik Generic di Gedung Utama Lantai 3 Zona Tengah mengalami kerusakan tampilan karena aus normal|Arsitektur|Sedang|Aus normal|Tampilan rusak|1032000
AC cassette Mitsubishi di Gedung Utama Lantai 13 Zona Timur tiba-tiba mati dan tidak bisa dinyalakan|Setelah melakukan pemeriksaan, ditemukan bahwa AC cassette Mitsubishi di Gedung Utama Lantai 13 Zona Timur mengalami korsleting karena usia pakai yang sudah lama|Mekanikal|Sedang|Usia pakai|Korsleting|1111000
AC Mitsubishi di Gedung Utama Lantai 13 Zona Timur tidak bisa bekerja dengan normal dan mengeluarkan suara aneh|Setelah pemeriksaan, ditemukan bahwa AC cassette Mitsubishi di Gedung Utama Lantai 13 Zona Timur mengalami korsleting karena usia pakai yang sudah lama|Mekanikal|Sedang|Usia pakai|Korsleting|1111000
Saya menemukan bahwa AC cassette Mitsubishi di Gedung Utama Lantai 13 Zona Timur tiba-tiba tidak bisa dinyalakan dan mengeluarkan bau terbakar|Setelah melakukan pemeriksaan, ditemukan bahwa AC cassette Mitsubishi di Gedung Utama Lantai 13 Zona Timur mengalami korsleting karena usia pakai yang sudah lama|Mekanikal|Sedang|Usia pakai|Korsleting|1111000
AC Split merek Gree di Gedung Utama Lantai 9 Zona Utara tidak bisa nyala|Tegangan listrik tidak stabil menyebabkan tekanan tidak stabil pada AC Split merek Gree di Gedung Utama Lantai 9 Zona Utara|Mechanical|Berat|Tegangan tidak stabil|Tekanan tidak stabil|5144000
AC Split Gree di lantai 9 Gedung Utama Zona Utara sering mati sendiri karena tekanan tidak stabil|Laporan teknisi menunjukkan bahwa tegangan listrik tidak stabil di Gedung Utama Lantai 9 Zona Utara menyebabkan kerusakan pada AC Split merek Gree|Mechanical|Berat|Tegangan tidak stabil|Tekanan tidak stabil|5144000
Gedung Utama Lantai 9 Zona Utara mengalami masalah dengan AC Split merek Gree, yaitu tekanan tidak stabil yang disebabkan oleh tegangan listrik tidak stabil|Teknisi menemukan bahwa penyebab utama kerusakan pada AC Split Gree di Gedung Utama Lantai 9 Zona Utara adalah tegangan tidak stabil yang menyebabkan tekanan tidak stabil|Mechanical|Berat|Tegangan tidak stabil|Tekanan tidak stabil|5144000
Lampu di Gedung Parkir Lantai 3 Zona Selatan tidak menyala karena breaker panel Generic rusak|Breaker panel Generic di Gedung Parkir Lantai 3 Zona Selatan mengalami kerusakan total karena kualitas material yang buruk|Electrical|Sedang|Kualitas material|Tidak berfungsi total|1081000
Saya menemukan breaker panel Generic di Gedung Parkir Lantai 3 Zona Selatan tidak berfungsi dengan baik|Kerusakan pada breaker panel Generic di Gedung Parkir Lantai 3 Zona Selatan disebabkan oleh kualitas material yang tidak memadai, sehingga memerlukan perbaikan|Electrical|Sedang|Kualitas material|Tidak berfungsi total|1081000
Breaker panel Generic di Gedung Parkir Lantai 3 Zona Selatan tiba-tiba mati dan tidak bisa dihidupkan kembali|Setelah pemeriksaan, ditemukan bahwa breaker panel Generic di Gedung Parkir Lantai 3 Zona Selatan mengalami kerusakan parah akibat kualitas material yang rendah|Electrical|Sedang|Kualitas material|Tidak berfungsi total|1081000
Kloset Generic di Gedung Utama Lantai 20 Zona Timur bocor|Kerusakan kebocoran pada kloset Generic di Gedung Utama Lantai 20 Zona Timur karena kurang perawatan|Plumbing|Sedang|Kurang perawatan|Kebocoran|1073000
Kloset di Gedung Utama Lantai 20 Zona Timur mengalami kebocoran, merek Generic|Laporan teknisi: kebocoran pada kloset Generic di Gedung Utama Lantai 20 Zona Timur, disebabkan oleh kurangnya perawatan|Plumbing|Sedang|Kurang perawatan|Kebocoran|1073000
Kloset Generic di lantai 20 Gedung Utama Zona Timur tidak berfungsi dengan baik karena bocor|Teknisi menemukan kerusakan kebocoran pada kloset Generic di Gedung Utama Lantai 20 Zona Timur, kemungkinan disebabkan oleh kurang perawatan|Plumbing|Sedang|Kurang perawatan|Kebocoran|1073000
Kamera CCTV Hikvision di Gedung D Lantai 5 Zona Utara tidak berfungsi dengan baik|Kamera CCTV Hikvision di Gedung D Lantai 5 Zona Utara mengalami kerusakan karena faktor lingkungan yang menyebabkan kamera macet|Security Sistem|Sedang|Faktor lingkungan|Macet/tersumbat|567000
Kamera pengawas Hikvision di lantai 5 Gedung D Zona Utara tiba-tiba tidak bisa merekam|Setelah dilakukan pemeriksaan, kamera CCTV Hikvision di Gedung D Lantai 5 Zona Utara ditemukan mengalami kerusakan karena faktor lingkungan yang menyebabkan kamera menjadi macet|Security Sistem|Sedang|Faktor lingkungan|Macet/tersumbat|567000
Kamera keamanan Hikvision type CCTV di Gedung D Lantai 5 Zona Utara tidak berfungsi normal|Teknisi menemukan bahwa kamera CCTV Hikvision di Gedung D Lantai 5 Zona Utara mengalami kerusakan karena faktor lingkungan yang menyebabkan kamera menjadi tersumbat|Security Sistem|Sedang|Faktor lingkungan|Macet/tersumbat|567000
CCTV di Gedung Parkir Lantai 5 Zona Selatan macet sehingga tidak bisa merekam|DVR CCTV merek Dahua di Gedung Parkir Lantai 5 Zona Selatan mengalami kerusakan macet/tersumbat karena aus normal|Security Sistem|Ringan|Aus normal|Macet/tersumbat|105000
DVR CCTV Dahua di Gedung Parkir Lantai 5 Zona Selatan tidak berfungsi dengan baik|Kerusakan pada DVR CCTV merek Dahua di Gedung Parkir Lantai 5 Zona Selatan disebabkan oleh aus normal yang menyebabkan kerusakan macet/tersumbat|Security Sistem|Ringan|Aus normal|Macet/tersumbat|105000
CCTV di Gedung Parkir Lantai 5 Zona Selatan tiba-tiba tidak bisa merekam karena macet|Laporan teknisi menunjukkan bahwa DVR CCTV merek Dahua di Gedung Parkir Lantai 5 Zona Selatan mengalami kerusakan ringan karena aus normal yang menyebabkan macet/tersumbat|Security Sistem|Ringan|Aus normal|Macet/tersumbat|105000
Pompa boster Wilo di Gedung Servis Lantai 1 Zona Tengah tidak berfungsi|Pompa boster Wilo di Gedung Servis Lantai 1 Zona Tengah mengalami koneksi terputus karena human error|Mechanical|Berat|Human error|Koneksi terputus|3303000
Pompa Wilo boster di zona tengah lantai 1 Gedung Servis rusak|Kerusakan pompa boster Wilo di Gedung Servis Lantai 1 Zona Tengah disebabkan oleh kesalahan manusia yang menyebabkan koneksi terputus|Mechanical|Berat|Human error|Koneksi terputus|3303000
Pompa boster merek Wilo di Gedung Servis lantai 1 zona tengah tidak beroperasi|Laporan teknisi menunjukkan bahwa pompa boster Wilo di Gedung Servis Lantai 1 Zona Tengah mengalami kerusakan koneksi terputus akibat human error|Mechanical|Berat|Human error|Koneksi terputus|3303000
Pompa Boster Ebara di Gedung Parkir Lantai 1 Zona Timur tidak berfungsi dengan baik|Pompa Boster Ebara mengalami overload sehingga mengakibatkan aus/abrasi, perlu perbaikan segera|Mechanical|Berat|Overload|Aus/abrasi|7241000
Pompa Boster Ebara di area parkir lantai 1 zona timur mengalami kerusakan parah|Setelah dilakukan inspeksi, ditemukan bahwa Pompa Boster Ebara mengalami overload yang menyebabkan aus/abrasi, sehingga memerlukan perbaikan|Mechanical|Berat|Overload|Aus/abrasi|7241000
Pompa Boster Ebara di Gedung Parkir Lantai 1 Zona Timur tidak bisa memompa air dengan normal|Pompa Boster Ebara mengalami kerusakan karena overload yang menyebabkan aus/abrasi, perlu dilakukan perbaikan untuk mengembalikan fungsinya|Mechanical|Berat|Overload|Aus/abrasi|7241000
Lampu LED Bulb merek lokal di Gedung Parkir Lantai 3 Zona Utara rusak dan tidak bisa menyala|Lampu LED Bulb merek lokal di Gedung Parkir Lantai 3 Zona Utara mengalami kerusakan pada tampilan sehingga perlu diganti|Electrical|Sedang|Human error|Tampilan rusak|488000
Lampu di Gedung Parkir Lantai 3 Zona Utara, khususnya Lampu LED Bulb merek lokal, rusak dan perlu diperbaiki|Laporan teknisi menunjukkan bahwa Lampu LED Bulb merek lokal di Gedung Parkir Lantai 3 Zona Utara rusak karena human error, sehingga biaya perbaikan diperlukan|Electrical|Sedang|Human error|Tampilan rusak|488000
Lampu LED Bulb merek lokal di area parkir Gedung Lantai 3 Zona Utara mengalami kerusakan dan tidak dapat digunakan|Laporan teknisi menyebutkan bahwa Lampu LED Bulb merek lokal di Gedung Parkir Lantai 3 Zona Utara rusak karena kesalahan manusia, sehingga memerlukan biaya perbaikan sebesar 488000|Electrical|Sedang|Human error|Tampilan rusak|488000
Lampu TL import di Gedung B Lantai 2 Zona Utara tidak menyala dengan normal|Lampu TL import di Gedung B Lantai 2 Zona Utara mengalami sensor error karena usia pakai yang sudah lama|Electrical|Ringan|Usia pakai|Sensor error|443000
Lampu TL merek import di Gedung B Lantai 2 Zona Utara sering mati sendiri|Lampu TL merek import di Gedung B Lantai 2 Zona Utara memerlukan perbaikan karena sensor error yang disebabkan oleh usia pakai|Electrical|Ringan|Usia pakai|Sensor error|443000
Lampu TL tipe import di Gedung B Lantai 2 Zona Utara tidak menyala terang|Lampu TL tipe import di Gedung B Lantai 2 Zona Utara mengalami gangguan sensor error yang kemungkinan disebabkan oleh usia pakai yang sudah lama|Electrical|Ringan|Usia pakai|Sensor error|443000
WI-FI di gedung parkir lantai 1 zona tengah sering terputus|Koneksi WI-FI lokal di gedung parkir lantai 1 zona tengah terputus karena debu/kotoran|Sistem Telekomunikasi Gedung|Sedang|Debu/kotoran|Koneksi terputus|452000
Saya kesulitan terhubung ke jaringan WI-FI lokal di gedung parkir lantai 1 zona tengah karena sering terputus|Teknisi menemukan bahwa debu/kotoran menyebabkan koneksi WI-FI lokal di gedung parkir lantai 1 zona tengah terputus|Sistem Telekomunikasi Gedung|Sedang|Debu/kotoran|Koneksi terputus|452000
Jaringan WI-FI lokal di gedung parkir lantai 1 zona tengah sering mengalami gangguan, terputus secara tiba-tiba|Setelah investigasi, ditemukan bahwa debu/kotoran pada perangkat WI-FI lokal di gedung parkir lantai 1 zona tengah menyebabkan koneksi terputus|Sistem Telekomunikasi Gedung|Sedang|Debu/kotoran|Koneksi terputus|452000
Plafon gypsum import di Gedung D Lantai 11 Zona Timur sudah aus dan rusak parah|Kerusakan plafon gypsum import di Gedung D Lantai 11 Zona Timur disebabkan oleh usia pakai yang sudah lama, sehingga menyebabkan aus dan abrasi|Arsitektur|Berat|Usia pakai|Aus/abrasi|8737000
Terdapat kerusakan pada plafon GRC import di Gedung D Lantai 11 Zona Timur, terlihat aus dan rusak|Laporan teknisi menunjukkan bahwa kerusakan plafon GRC import di Gedung D Lantai 11 Zona Timur disebabkan oleh usia pakai yang sudah lama, sehingga perlu perbaikan segera|Arsitektur|Berat|Usia pakai|Aus/abrasi|8737000
Plafon gedung di Lantai 11 Zona Timur Gedung D yang menggunakan plafon gypsum import sudah tidak layak pakai karena aus dan rusak|Teknisi melaporkan bahwa plafon gypsum import di Gedung D Lantai 11 Zona Timur mengalami kerusakan berat akibat usia pakai, sehingga diperlukan biaya perbaikan sebesar 8737000|Arsitektur|Berat|Usia pakai|Aus/abrasi|8737000
AC Daikin di Gedung Parkir Lantai 3 Zona Tengah rusak dan tidak bisa digunakan|Kerusakan AC Daikin tipe Cassette di Gedung Parkir Lantai 3 Zona Tengah disebabkan korosi, perlu perbaikan segera|Mechanical|Ringan|Korosi|Berkarat/korosi|440000
AC Cassette Daikin di parkiran lantai 3 zona tengah mengalami kerusakan dan mengeluarkan suara aneh|Setelah inspeksi, ditemukan bahwa AC Cassette Daikin di Gedung Parkir Lantai 3 Zona Tengah rusak karena korosi, sehingga perlu dilakukan perbaikan|Mechanical|Ringan|Korosi|Berkarat/korosi|440000
Saya menemukan AC Daikin di Gedung Parkir Lantai 3 Zona Tengah tidak berfungsi dengan baik, mungkin karena berkarat|Laporan teknisi menunjukkan bahwa AC Cassette Daikin di lokasi tersebut rusak akibat korosi, sehingga memerlukan biaya perbaikan sebesar 440000|Mechanical|Ringan|Korosi|Berkarat/korosi|440000
AC Standing Panasonic di Gedung C Lantai 3 Zona Utara tiba-tiba tidak berfungsi|Setelah dilakukan pemeriksaan, ditemukan bahwa koneksi listrik AC Standing Panasonic di Gedung C Lantai 3 Zona Utara terputus karena getaran|Mechanical|Berat|Getaran|Koneksi terputus|5719000
Saya mengalami masalah dengan AC Standing Panasonic di Gedung C Lantai 3 Zona Utara, yang tidak dapat menyala|Pemeriksaan menunjukkan bahwa getaran yang kuat menyebabkan koneksi listrik AC Standing Panasonic di Gedung C Lantai 3 Zona Utara terputus|Mechanical|Berat|Getaran|Koneksi terputus|5719000
AC Standing Panasonic di Gedung C Lantai 3 Zona Utara saya mengalami kerusakan, tidak dapat beroperasi dengan normal|Setelah dilakukan analisis, ditemukan bahwa kerusakan pada AC Standing Panasonic di Gedung C Lantai 3 Zona Utara disebabkan oleh getaran yang menyebabkan koneksi listrik terputus|Mechanical|Berat|Getaran|Koneksi terputus|5719000
Kursi import di Gedung A Lantai 5 Zona Selatan tiba-tiba mati lampunya|Laporan teknisi: Kursi merek import di Gedung A Lantai 5 Zona Selatan mengalami kerusakan lampu akibat kelembaban tinggi|Arsitektur|Sedang|Kelembaban tinggi|Lampu mati|1240000
Lampu di atas kursi import di Gedung A Lantai 5 Zona Selatan tidak menyala|Teknisi menemukan bahwa lampu di atas kursi tipe modern merek import di Gedung A Lantai 5 Zona Selatan rusak karena kelembaban|Arsitektur|Sedang|Kelembaban tinggi|Lampu mati|1240000
Kerusakan lampu pada kursi merek import tipe modern di Gedung A Lantai 5 Zona Selatan|Teknisi melakukan pengecekan dan menemukan bahwa kerusakan lampu pada kursi merek import di Gedung A Lantai 5 Zona Selatan disebabkan oleh kelembaban tinggi|Arsitektur|Sedang|Kelembaban tinggi|Lampu mati|1240000
Lampu AC Split Gree di Gedung Utama Lantai 11 Zona Timur tidak menyala|Lampu AC Split Gree di Gedung Utama Lantai 11 Zona Timur mati karena aus normal|Mechanical|Ringan|Aus normal|Lampu mati|62000
AC Split Gree di Lantai 11 Gedung Utama Zona Timur tiba-tiba gelap karena lampu tidak menyala|Pemeriksaan menunjukkan bahwa lampu AC Split Gree di Lantai 11 Gedung Utama Zona Timur mengalami kerusakan karena aus normal|Mechanical|Ringan|Aus normal|Lampu mati|62000
Lampu di unit AC Split Gree di Gedung Utama Lantai 11 Zona Timur sudah tidak menyala sehingga perlu perbaikan|Teknisi menemukan bahwa kerusakan pada lampu AC Split Gree di Gedung Utama Lantai 11 Zona Timur disebabkan oleh aus normal|Mechanical|Ringan|Aus normal|Lampu mati|62000
AC Sentral Trane di Gedung B Lantai 9 Zona Utara tidak berfungsi dengan baik|Setelah melakukan inspeksi, ditemukan bahwa AC Sentral Trane di Gedung B Lantai 9 Zona Utara mengalami kerusakan retak/pecah karena overload|Mechanical|Ringan|Overload|Retak/pecah|390000
Saya mendengar suara aneh dari AC Sentral Trane di Gedung B Lantai 9 Zona Utara, kemungkinan ada masalah|Setelah melakukan pengecekan, ditemukan bahwa AC Sentral Trane di Gedung B Lantai 9 Zona Utara mengalami kerusakan retak/pecah karena overload, sehingga perlu dilakukan perbaikan|Mechanical|Ringan|Overload|Retak/pecah|390000
AC Sentral Trane di Gedung B Lantai 9 Zona Utara tiba-tiba berhenti beroperasi, mungkin karena terlalu panas|Setelah melakukan analisis, ditemukan bahwa AC Sentral Trane di Gedung B Lantai 9 Zona Utara mengalami kerusakan retak/pecah karena overload, sehingga perlu dilakukan perbaikan segera|Mechanical|Ringan|Overload|Retak/pecah|390000
Kamera CCTV Axis di lantai 5 Gedung Utama Zona Utara tidak bisa diakses dari jarak jauh|Setelah dilakukan pengecekan, ditemukan bahwa getaran yang terjadi pada kamera CCTV Axis di lantai 5 Gedung Utama Zona Utara menyebabkan remote tidak berfungsi|Security Sistem|Ringan|Getaran|Remote tidak berfungsi|71000
Kamera pengawas Axis di Gedung Utama lantai 5 Zona Utara tiba-tiba tidak bisa dikontrol dari jarak jauh|Pemeriksaan menunjukkan bahwa getaran yang dialami kamera CCTV Axis di Gedung Utama lantai 5 Zona Utara menyebabkan kerusakan pada fungsi remote|Security Sistem|Ringan|Getaran|Remote tidak berfungsi|71000
